month,births,ma_share,cash_share,ma_cases,cash_cases,pr_cash,pr_ma,total_receipts,noh_fee,medicare_fee,residual_pre_clinicians,enrolments_active,mo_sessions,mo_cost,cs_rate,cs_cases,anaes_cost,ob_core_count,ob_pool_total,locum_reserve,ob_core_share,clinician_costs,net_cashflow,cumulative_cash
1,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,2,0,0,0,0,0,0
2,2,0.2273,0.7727,0,2,80000,0,80000,12000,38944,29056,2,1,8000,0.4091,0.8182,4090.9091,2,17800,890,8455,29890.9091,-834.9091,-834.9091
3,4,0.2545,0.7455,1,3,120000,50000,170000,25500,82756,61744,4,1,14000,0.3982,1.5927,7963.6364,2,25600,1280,12160,47563.6364,14180.3636,13345.4545
4,6,0.2818,0.7182,2,4,160000,100000,260000,39000,126568,94432,7,1,20000,0.3873,2.3236,11618.1818,2,37300,1865,17717.5,68918.1818,25513.8182,38859.2727
5,8,0.3091,0.6909,2,6,240000,100000,340000,51000,165512,123488,9,1,26000,0.3764,3.0109,15054.5455,2,45100,2255,21422.5,86154.5455,37333.4545,76192.7273
6,10,0.3364,0.6636,3,7,280000,150000,430000,64500,209324,156176,11,1,32000,0.3655,3.6545,18272.7273,2,52900,2645,25127.5,103172.7273,53003.2727,129196
7,13,0.3636,0.6364,5,8,320000,250000,570000,85500,277476,207024,13,1,41000,0.3545,4.6091,23045.4545,2,60700,3035,28832.5,124745.4545,82278.5455,211474.5455
8,17,0.3909,0.6091,7,10,400000,350000,750000,112500,365100,272400,15,1,53000,0.3436,5.8418,29209.0909,2,68500,3425,32537.5,150709.0909,121690.9091,333165.4545
9,20,0.4182,0.5818,8,12,480000,400000,880000,132000,428384,319616,17,1,62000,0.3327,6.6545,33272.7273,2,76300,3815,36242.5,171572.7273,148043.2727,481208.7273
10,23,0.4455,0.5545,10,13,520000,500000,1020000,153000,496536,370464,20,1,71000,0.3218,7.4018,37009.0909,2,88000,4400,41800,196009.0909,174454.9091,655663.6364
11,27,0.4727,0.5273,13,14,560000,650000,1210000,181500,589028,439472,22,1,83000,0.3109,8.3945,41972.7273,2,95800,4790,45505,220772.7273,218699.2727,874362.9091
12,30,0.5,0.5,15,15,600000,750000,1350000,202500,657180,490320,24,1,92000,0.3,9,45000,2,103600,5180,49210,240600,249720,1124082.9091
13,31,0.5,0.5,16,15,600000,800000,1400000,210000,681520,508480,26,1,95000,0.3,9.3,46500.0,2,111400,5570,52915,252900,255580,1379662.9091
14,33,0.5,0.5,17,16,640000,850000,1490000,223500,725332,541168,28,1,101000,0.3,9.9,49500,2,119200,5960,56620,269700,271468,1651130.9091
15,35,0.5,0.5,18,17,680000,900000,1580000,237000,769144,573856,30,1,107000,0.3,10.5,52500,2,127000,6350,60325,286500,287356,1938486.9091
16,36,0.5,0.5,18,18,720000,900000,1620000,243000,788616,588384,33,1,110000,0.3,10.8,54000.0,2,138700,6935,65882.5,302700,285684,2224170.9091
17,38,0.5,0.5,19,19,760000,950000,1710000,256500,832428,621072,35,1,116000,0.3,11.4,57000,2,146500,7325,69587.5,319500,301572,2525742.9091
18,40,0.5,0.5,20,20,800000,1000000,1800000,270000,876240,653760,37,1,122000,0.3,12,60000,2,154300,7715,73292.5,336300,317460,2843202.9091
19,42,0.5,0.5,21,21,840000,1050000,1890000,283500,920052,686448,39,1,128000,0.3,12.6,63000,2,162100,8105,76997.5,353100,333348,3176550.9091
20,44,0.5,0.5,22,22,880000,1100000,1980000,297000,963864,719136,41,2,136000,0.3,13.2,66000,2,169900,8495,80702.5,371900,347236,3523786.9091
21,46,0.5,0.5,23,23,920000,1150000,2070000,310500,1007676,751824,43,2,142000,0.3,13.8,69000,2,177700,8885,84407.5,388700,363124,3886910.9091
22,48,0.5,0.5,24,24,960000,1200000,2160000,324000,1051488,784512,46,2,148000,0.3,14.4,72000,2,189400,9470,89965,409400,375112,4262022.9091
23,50,0.5,0.5,25,25,1000000,1250000,2250000,337500,1095300,817200,48,2,154000,0.3,15,75000,2,197200,9860,93670,426200,391000,4653022.9091
24,52,0.5,0.5,26,26,1040000,1300000,2340000,351000,1139112,849888,50,2,160000,0.3,15.6,78000,2,205000,10250,97375,443000,406888,5059910.9091
