scenario,month,births,nvd_cases,cs_cases,enrolments_active,ma_share,cs_rate,total_receipts,noh_fee,medicare_fee,residual,antenatal_midwifery,inhosp_midwifery,midwifery_costs,mo_session_cost,mo_birth_cost,mo_cost,anaes_cost,ob_cores,ob_pool,clinician_costs,board_facility,total_costs,net_cashflow,cumulative_cash
conservative,1,0,0.0,0.0,0,0.2,0.42,0,0,0,0,0,0,0,0,0,0,0,2,10000,10000,0,10000,-10000,-10000
conservative,2,2,1.17,0.83,2,0.2088,0.4159,80000,12000,38944,29056,6000,1928,7928,2000,3109,5109,4159,2,17800,27067,7079,42074,-13018,-23018
conservative,3,3,1.76,1.24,3,0.2176,0.4118,130000,19500,63284,47216,9000,2912,11912,2000,4632,6632,6176,2,21700,34509,10588,57009,-9793,-32811
conservative,4,5,2.96,2.04,5,0.2265,0.4076,210000,31500,102228,76272,15000,4887,19887,2000,7670,9670,10191,2,29500,49361,17596,86843,-10571,-43383
conservative,5,6,3.58,2.42,6,0.2353,0.4035,250000,37500,121700,90800,18000,5905,23905,2000,9142,11142,12106,2,33400,56648,21053,101606,-10806,-54189
conservative,6,8,4.8,3.2,8,0.2441,0.3994,340000,51000,165512,123488,24000,7928,31928,2000,12108,14108,15976,2,41200,71285,27988,131201,-7713,-61902
conservative,7,9,5.44,3.56,9,0.2529,0.3953,380000,57000,184984,138016,27000,8980,35980,2000,13530,15530,17788,2,45100,78418,31394,145792,-7776,-69678
conservative,8,11,6.7,4.3,11,0.2618,0.3912,470000,70500,228796,170704,33000,11050,44050,2000,16425,18425,21515,2,52900,92839,38257,175147,-4443,-74121
conservative,9,12,7.36,4.64,12,0.2706,0.3871,510000,76500,248268,185232,36000,12136,48136,2000,17796,19796,23224,2,56800,99819,41612,189567,-4335,-78456
conservative,10,14,8.64,5.36,14,0.2794,0.3829,600000,90000,292080,217920,42000,14254,56254,2000,20619,22619,26806,2,64600,114025,48403,218682,-762,-79218
conservative,11,15,9.32,5.68,15,0.2882,0.3788,640000,96000,311552,232448,45000,15374,60374,2000,21939,23939,28412,2,68500,120851,51706,232931,-483,-79701
conservative,12,17,10.63,6.37,17,0.2971,0.3747,730000,109500,355364,265136,51000,17540,68540,2000,24691,26691,31850,2,76300,134841,58425,261805,3331,-76370
conservative,13,18,11.33,6.67,18,0.3059,0.3706,780000,117000,379704,283296,54000,18694,72694,2000,25960,27960,33353,2,80200,141513,61676,275883,7413,-68957
conservative,14,20,12.67,7.33,20,0.3147,0.3665,860000,129000,418648,312352,60000,20906,80906,2000,28640,30640,36647,2,88000,155287,68324,304517,7835,-61122
conservative,15,21,13.39,7.61,21,0.3235,0.3624,910000,136500,442988,330512,63000,22094,85094,2000,29858,31858,38047,2,91900,161805,71524,318423,12089,-49033
conservative,16,23,14.76,8.24,23,0.3324,0.3582,1000000,150000,486800,363200,69000,24355,93355,2000,32468,34468,41197,2,99700,175365,78099,346818,16382,-32651
conservative,17,24,15.5,8.5,24,0.3412,0.3541,1040000,156000,506272,377728,72000,25577,97577,2000,33635,35635,42494,2,103600,181729,81247,360553,17175,-15476
conservative,18,26,16.9,9.1,26,0.35,0.35,1130000,169500,550084,410416,78000,27885,105885,2000,36172,38172,45500,2,111400,195072,87750,388708,21708,6232
conservative,19,27,17.55,9.45,27,0.35,0.35,1170000,175500,569556,424944,81000,28958,109958,2000,37564,39564,47250,2,115300,202114,91125,403196,21748,27980
conservative,20,29,18.85,10.15,29,0.35,0.35,1260000,189000,613368,457632,87000,31102,118102,2000,40346,42346,50750,2,123100,216196,97875,432174,25458,53438
conservative,21,30,19.5,10.5,30,0.35,0.35,1300000,195000,632840,472160,90000,32175,122175,2000,41738,43738,52500,2,127000,223238,101250,446662,25498,78936
conservative,22,32,20.8,11.2,32,0.35,0.35,1390000,208500,676652,504848,96000,34320,130320,2000,44520,46520,56000,2,134800,237320,108000,475640,29208,108144
conservative,23,33,21.45,11.55,33,0.35,0.35,1440000,216000,700992,523008,99000,35393,134392,2000,45911,47911,57750,2,138700,244361,111375,490129,32879,141023
conservative,24,35,22.75,12.25,35,0.35,0.35,1520000,228000,739936,552064,105000,37538,142538,2000,48694,50694,61250,2,146500,258444,118125,519106,32958,173981
