scenario,month,births,nvd_cases,cs_cases,enrolments_active,ma_share,cs_rate,total_receipts,noh_fee,medicare_fee,residual,antenatal_midwifery,inhosp_midwifery,midwifery_costs,mo_session_cost,mo_birth_cost,mo_cost,anaes_cost,ob_cores,ob_pool,clinician_costs,board_facility,total_costs,net_cashflow,cumulative_cash
high_cs_rate,1,0,0.0,0.0,0,0.2,0.42,0,0,0,0,0,0,0,0,0,0,0,2,10000,10000,0,10000,-10000,-10000
high_cs_rate,2,2,1.16,0.84,2,0.2273,0.42,80000,12000,38944,29056,6000,1914,7914,2000,3129,5129,4200,2,17800,27129,7100,42143,-13087,-23087
high_cs_rate,3,5,2.9,2.1,4,0.2545,0.42,210000,31500,102228,76272,15000,4785,19785,2000,7822,9822,10500,2,25600,45922,17750,83458,-7186,-30272
high_cs_rate,4,7,4.06,2.94,7,0.2818,0.42,300000,45000,146040,108960,21000,6699,27699,2000,10952,12952,14700,2,37300,64952,24850,117500,-8540,-38813
high_cs_rate,5,9,5.22,3.78,9,0.3091,0.42,390000,58500,189852,141648,27000,8613,35613,2000,14080,16080,18900,2,45100,80080,31950,147644,-5996,-44808
high_cs_rate,6,11,6.38,4.62,11,0.3364,0.42,480000,72000,233664,174336,33000,10527,43527,2000,17210,19210,23100,2,52900,95210,39050,177786,-3450,-48259
high_cs_rate,7,14,8.12,5.88,13,0.3636,0.42,610000,91500,296948,221552,42000,13398,55398,2000,21903,23903,29400,2,60700,114003,49700,219101,2451,-45808
high_cs_rate,8,16,9.28,6.72,15,0.3909,0.42,700000,105000,340760,254240,48000,15312,63312,2000,25032,27032,33600,2,68500,129132,56800,249244,4996,-40812
high_cs_rate,9,18,10.44,7.56,17,0.4182,0.42,800000,120000,389440,290560,54000,17226,71226,2000,28161,30161,37800,2,76300,144261,63900,279387,11173,-29639
high_cs_rate,10,20,11.6,8.4,20,0.4455,0.42,890000,133500,433252,323248,60000,19140,79140,2000,31290,33290,42000,2,88000,163290,71000,313430,9818,-19821
high_cs_rate,11,23,13.34,9.66,22,0.4727,0.42,1030000,154500,501404,374096,69000,22011,91011,2000,35984,37984,48300,2,95800,182084,81650,354744,19352,-470
high_cs_rate,12,25,14.5,10.5,24,0.5,0.42,1120000,168000,545216,406784,75000,23925,98925,2000,39112,41112,52500,2,103600,197212,88750,384888,21896,21427
high_cs_rate,13,27,15.66,11.34,26,0.5,0.42,1220000,183000,593896,443104,81000,25839,106839,2000,42242,44242,56700,2,111400,212342,95850,415030,28074,49500
high_cs_rate,14,29,16.82,12.18,28,0.5,0.42,1300000,195000,632840,472160,87000,27753,114753,2000,45370,47370,60900,2,119200,227470,102950,445174,26986,76487
high_cs_rate,15,32,18.56,13.44,30,0.5,0.42,1440000,216000,700992,523008,96000,30624,126624,2000,50064,52064,67200,2,127000,246264,113600,486488,36520,113007
high_cs_rate,16,34,19.72,14.28,33,0.5,0.42,1530000,229500,744804,555696,102000,32538,134538,2000,53193,55193,71400,2,138700,265293,120700,520531,35165,148172
high_cs_rate,17,36,20.88,15.12,35,0.5,0.42,1620000,243000,788616,588384,108000,34452,142452,2000,56322,58322,75600,2,146500,280422,127800,550674,37710,185882
high_cs_rate,18,38,22.04,15.96,37,0.5,0.42,1710000,256500,832428,621072,114000,36366,150366,2000,59451,61451,79800,2,154300,295551,134900,580817,40255,226137
high_cs_rate,19,41,23.78,17.22,39,0.5,0.42,1840000,276000,895712,668288,123000,39237,162237,2000,64144,66144,86100,2,162100,314344,145550,622132,46156,272294
high_cs_rate,20,43,24.94,18.06,41,0.5,0.42,1940000,291000,944392,704608,129000,41151,170151,4000,67274,71274,90300,2,169900,331474,152650,654274,50334,322627
high_cs_rate,21,45,26.1,18.9,43,0.5,0.42,2020000,303000,983336,733664,135000,43065,178065,4000,70402,74402,94500,2,177700,346602,159750,684418,49246,371874
high_cs_rate,22,47,27.26,19.74,46,0.5,0.42,2120000,318000,1032016,769984,141000,44979,185979,4000,73532,77532,98700,2,189400,365632,166850,718460,51524,423397
high_cs_rate,23,50,29.0,21.0,48,0.5,0.42,2250000,337500,1095300,817200,150000,47850,197850,4000,78225,82225,105000,2,197200,384425,177500,759775,57425,480822
high_cs_rate,24,52,30.16,21.84,50,0.5,0.42,2340000,351000,1139112,849888,156000,49764,205764,4000,81354,85354,109200,2,205000,399554,184600,789918,59970,540792
