scenario,month,births,nvd_cases,cs_cases,enrolments_active,ma_share,cs_rate,total_receipts,noh_fee,medicare_fee,residual,antenatal_midwifery,inhosp_midwifery,midwifery_costs,mo_session_cost,mo_birth_cost,mo_cost,anaes_cost,ob_pool,clinician_costs,board_facility,total_costs,net_cashflow,cumulative_cash
base,1,0,0.0,0.0,0,0.2,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base,2,2,1.18,0.82,2,0.2273,0.4091,80389,12058,39134,29197,3720,0,3720,2000,3075,5075,4091,11591,20757,11800,36277,-7079,-7079
base,3,5,3.01,1.99,4,0.2545,0.3982,212049,31807,103226,77016,9300,0,9300,2000,7552,9552,9955,28705,48212,29140,86652,-9635,-16715
base,4,7,4.29,2.71,7,0.2818,0.3873,304402,45660,148183,110559,13020,0,13020,2000,10384,12384,13555,39805,65744,40292,119056,-8497,-25211
base,5,9,5.61,3.39,9,0.3091,0.3764,397649,59647,193576,144426,16740,0,16740,2000,13109,15109,16936,50686,82731,51156,150627,-6201,-31412
base,6,11,6.98,4.02,11,0.3364,0.3655,491796,73769,239406,178620,20460,0,20460,2000,15724,17724,20100,61350,99174,61732,181366,-2746,-34159
base,7,14,9.04,4.96,13,0.3636,0.3545,628033,94205,305727,228102,26040,0,26040,2000,19635,21635,24818,77318,123771,77560,227371,730,-33428
base,8,16,10.5,5.5,15,0.3909,0.3436,724202,108630,352542,263030,29760,0,29760,2000,22008,24008,27491,87491,138990,87488,256238,6792,-26636
base,9,18,12.01,5.99,17,0.4182,0.3327,831688,124753,404866,302069,33480,0,33480,2000,24273,26273,29945,97445,153664,97128,284272,17797,-8839
base,10,20,13.56,6.44,20,0.4455,0.3218,929757,139464,452606,337688,37200,0,37200,2000,26430,28430,32182,107182,167794,106480,311474,26214,17376
base,11,23,15.85,7.15,22,0.4727,0.3109,1081248,162187,526352,392709,42780,0,42780,2000,29774,31774,35755,122005,189533,120796,353109,39601,56976
base,12,25,17.5,7.5,24,0.5,0.3,1181449,177217,575129,429102,46500,0,46500,2000,31688,33688,37500,131250,202438,129500,378438,50665,107641
base,13,27,18.9,8.1,26,0.5,0.3,1293200,193980,629530,469690,50220,0,50220,2000,34222,36222,40500,141750,218472,139860,408552,61138,168779
base,14,29,20.3,8.7,28,0.5,0.3,1384707,207706,674076,502926,53940,0,53940,2000,36758,38758,43500,152250,234508,150220,438668,64258,233037
base,15,32,22.4,9.6,30,0.5,0.3,1541296,231194,750303,559799,59520,0,59520,2000,40560,42560,48000,168000,258560,165760,483840,75959,308996
base,16,34,23.8,10.2,33,0.5,0.3,1645598,246840,801077,597681,63240,0,63240,2000,43095,45095,51000,178500,274595,176120,513955,83726,392722
base,17,36,25.2,10.8,35,0.5,0.3,1750879,262632,852328,635919,66960,0,66960,2000,45630,47630,54000,189000,290630,186480,544070,91849,484571
base,18,38,26.6,11.4,37,0.5,0.3,1857146,278572,904059,674515,70680,0,70680,2000,48165,50165,57000,199500,306665,196840,574185,100330,584902
base,19,41,28.7,12.3,39,0.5,0.3,2008060,301209,977523,729327,76260,0,76260,2000,51967,53967,61500,215250,330718,212380,619358,109970,694872
base,20,43,30.1,12.9,41,0.5,0.3,2127499,319125,1035666,772708,79980,0,79980,4000,54502,58502,64500,225750,348752,222740,651472,121235,816107
base,21,45,31.5,13.5,43,0.5,0.3,2226014,333902,1083623,808488,83700,0,83700,4000,57038,61038,67500,236250,364788,233100,681588,126901,943007
base,22,47,32.9,14.1,46,0.5,0.3,2347584,352138,1142804,852642,87420,0,87420,4000,59572,63572,70500,246750,380822,243460,711702,140940,1083947
base,23,50,35.0,15.0,48,0.5,0.3,2503667,375550,1218785,909332,93000,0,93000,4000,63375,67375,75000,262500,404875,259000,756875,152457,1236404
base,24,52,36.4,15.6,50,0.5,0.3,2616488,392473,1273706,950308,96720,0,96720,4000,65910,69910,78000,273000,420910,269360,786990,163318,1399723
