scenario,month,births,nvd_cases,cs_cases,enrolments_active,ma_share,cs_rate,total_receipts,noh_fee,medicare_fee,residual,antenatal_midwifery,inhosp_midwifery,midwifery_costs,mo_session_cost,mo_birth_cost,mo_cost,anaes_cost,ob_pool,clinician_costs,board_facility,total_costs,net_cashflow,cumulative_cash
conservative,1,0,0.0,0.0,0,0.2,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conservative,2,2,1.17,0.83,2,0.2088,0.4159,80389,12058,39134,29197,3720,0,3720,2000,3109,5109,4159,11659,20926,11890,36536,-7338,-7338
conservative,3,3,1.76,1.24,3,0.2176,0.4118,131269,19690,63902,47677,5580,0,5580,2000,4632,6632,6176,17426,30235,17753,53568,-5891,-13230
conservative,4,5,2.96,2.04,5,0.2265,0.4076,213082,31962,103728,77391,9300,0,9300,2000,7670,9670,10191,28941,48802,29452,87554,-10163,-23393
conservative,5,6,3.58,2.42,6,0.2353,0.4035,254903,38235,124087,92581,11160,0,11160,2000,9142,11142,12106,34606,57854,35180,104194,-11613,-35006
conservative,6,8,4.8,3.2,8,0.2441,0.3994,348356,52253,169580,126523,14880,0,14880,2000,12108,14108,15976,45976,76061,46689,137630,-11107,-46114
conservative,7,9,5.44,3.56,9,0.2529,0.3953,391234,58685,190453,142096,16740,0,16740,2000,13530,15530,17788,51538,84857,52280,153877,-11781,-57895
conservative,8,11,6.7,4.3,11,0.2618,0.3912,486250,72937,236706,176606,20460,0,20460,2000,16425,18425,21515,62765,102704,63599,186764,-10158,-68052
conservative,9,12,7.36,4.64,12,0.2706,0.3871,530201,79530,258102,192569,22320,0,22320,2000,17796,19796,23224,68224,111243,69055,202618,-10049,-78101
conservative,10,14,8.64,5.36,14,0.2794,0.3829,626802,94020,305127,227655,26040,0,26040,2000,20619,22619,26806,79306,128731,80184,234954,-7300,-85401
conservative,11,15,9.32,5.68,15,0.2882,0.3788,671844,100777,327053,244014,27900,0,27900,2000,21939,23939,28412,84662,137012,85504,250416,-6402,-91803
conservative,12,17,10.63,6.37,17,0.2971,0.3747,770052,115508,374861,279683,31620,0,31620,2000,24691,26691,31850,95600,154141,96442,282203,-2520,-94323
conservative,13,18,11.33,6.67,18,0.3059,0.3706,826800,124020,402486,300294,33480,0,33480,2000,25960,27960,33353,100853,162166,101626,297271,3022,-91301
conservative,14,20,12.67,7.33,20,0.3147,0.3665,916037,137406,445927,332705,37200,0,37200,2000,28640,30640,36647,111647,178934,112374,328509,4196,-87104
conservative,15,21,13.39,7.61,21,0.3235,0.3624,974013,146102,474150,353762,39060,0,39060,2000,29858,31858,38047,116797,186702,117422,343185,10577,-76527
conservative,16,23,14.76,8.24,23,0.3324,0.3582,1075554,161333,523580,390641,42780,0,42780,2000,32468,34468,41197,127447,203112,127980,373872,16770,-59758
conservative,17,24,15.5,8.5,24,0.3412,0.3541,1124021,168603,547174,408244,44640,0,44640,2000,33635,35635,42494,132494,210623,132892,388155,20089,-39668
conservative,18,26,16.9,9.1,26,0.35,0.35,1227237,184086,597419,445732,48360,0,48360,2000,36172,38172,45500,143000,226672,143260,418292,27440,-12228
conservative,19,27,17.55,9.45,27,0.35,0.35,1276864,191530,621577,463757,50220,0,50220,2000,37564,39564,47250,148500,235314,148770,434304,29453,17225
conservative,20,29,18.85,10.15,29,0.35,0.35,1381778,207267,672649,501862,53940,0,53940,2000,40346,42346,50750,159500,252596,159790,466326,35535,52760
conservative,21,30,19.5,10.5,30,0.35,0.35,1432583,214887,697381,520314,55800,0,55800,2000,41738,43738,52500,165000,261238,165300,482338,37977,90737
conservative,22,32,20.8,11.2,32,0.35,0.35,1539218,230883,749291,559044,59520,0,59520,2000,44520,46520,56000,176000,278520,176320,514360,44684,135421
conservative,23,33,21.45,11.55,33,0.35,0.35,1602347,240352,780023,581972,61380,0,61380,2000,45911,47911,57750,181500,287161,181830,530371,51601,187022
conservative,24,35,22.75,12.25,35,0.35,0.35,1699599,254940,827365,617294,65100,0,65100,2000,48694,50694,61250,192500,304444,192850,562394,54901,241923
