scenario,month,births,nvd_cases,cs_cases,enrolments_active,ma_share,cs_rate,total_receipts,noh_fee,medicare_fee,residual,antenatal_midwifery,inhosp_midwifery,midwifery_costs,mo_session_cost,mo_birth_cost,mo_cost,anaes_cost,ob_pool,clinician_costs,board_facility,total_costs,net_cashflow,cumulative_cash
high_cs_rate,1,0,0.0,0.0,0,0.2,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high_cs_rate,2,2,1.16,0.84,2,0.2273,0.42,80389,12058,39134,29197,3720,0,3720,2000,3129,5129,4200,11700,21029,11944,36693,-7496,-7496
high_cs_rate,3,5,2.9,2.1,4,0.2545,0.42,212049,31807,103226,77016,9300,0,9300,2000,7822,9822,10500,29250,49572,29860,88732,-11716,-19212
high_cs_rate,4,7,4.06,2.94,7,0.2818,0.42,304402,45660,148183,110559,13020,0,13020,2000,10952,12952,14700,40950,68602,41804,123426,-12867,-32078
high_cs_rate,5,9,5.22,3.78,9,0.3091,0.42,397649,59647,193576,144426,16740,0,16740,2000,14080,16080,18900,52650,87630,53748,158118,-13692,-45771
high_cs_rate,6,11,6.38,4.62,11,0.3364,0.42,491796,73769,239406,178620,20460,0,20460,2000,17210,19210,23100,64350,106660,65692,192812,-14191,-59962
high_cs_rate,7,14,8.12,5.88,13,0.3636,0.42,628033,94205,305727,228102,26040,0,26040,2000,21903,23903,29400,81900,135203,83608,244851,-16749,-76711
high_cs_rate,8,16,9.28,6.72,15,0.3909,0.42,724202,108630,352542,263030,29760,0,29760,2000,25032,27032,33600,93600,154232,95552,279544,-16514,-93225
high_cs_rate,9,18,10.44,7.56,17,0.4182,0.42,831688,124753,404866,302069,33480,0,33480,2000,28161,30161,37800,105300,173261,107496,314237,-12168,-105393
high_cs_rate,10,20,11.6,8.4,20,0.4455,0.42,929757,139464,452606,337688,37200,0,37200,2000,31290,33290,42000,117000,192290,119440,348930,-11242,-116635
high_cs_rate,11,23,13.34,9.66,22,0.4727,0.42,1081248,162187,526352,392709,42780,0,42780,2000,35984,37984,48300,134550,220834,137356,400970,-8260,-124895
high_cs_rate,12,25,14.5,10.5,24,0.5,0.42,1181449,177217,575129,429102,46500,0,46500,2000,39112,41112,52500,146250,239862,149300,435662,-6560,-131455
high_cs_rate,13,27,15.66,11.34,26,0.5,0.42,1293200,193980,629530,469690,50220,0,50220,2000,42242,44242,56700,157950,258892,161244,470356,-665,-132120
high_cs_rate,14,29,16.82,12.18,28,0.5,0.42,1384707,207706,674076,502926,53940,0,53940,2000,45370,47370,60900,169650,277920,173188,505048,-2123,-134243
high_cs_rate,15,32,18.56,13.44,30,0.5,0.42,1541296,231194,750303,559799,59520,0,59520,2000,50064,52064,67200,187200,306464,191104,557088,2711,-131533
high_cs_rate,16,34,19.72,14.28,33,0.5,0.42,1645598,246840,801077,597681,63240,0,63240,2000,53193,55193,71400,198900,325493,203048,591781,5900,-125632
high_cs_rate,17,36,20.88,15.12,35,0.5,0.42,1750879,262632,852328,635919,66960,0,66960,2000,56322,58322,75600,210600,344522,214992,626474,9445,-116187
high_cs_rate,18,38,22.04,15.96,37,0.5,0.42,1857146,278572,904059,674515,70680,0,70680,2000,59451,61451,79800,222300,363551,226936,661167,13348,-102839
high_cs_rate,19,41,23.78,17.22,39,0.5,0.42,2008060,301209,977523,729327,76260,0,76260,2000,64144,66144,86100,239850,392094,244852,713206,16121,-86718
high_cs_rate,20,43,24.94,18.06,41,0.5,0.42,2127499,319125,1035666,772708,79980,0,79980,4000,67274,71274,90300,251550,413124,256796,749900,22808,-63910
high_cs_rate,21,45,26.1,18.9,43,0.5,0.42,2226014,333902,1083623,808488,83700,0,83700,4000,70402,74402,94500,263250,432152,268740,784592,23896,-40014
high_cs_rate,22,47,27.26,19.74,46,0.5,0.42,2347584,352138,1142804,852642,87420,0,87420,4000,73532,77532,98700,274950,451182,280684,819286,33357,-6657
high_cs_rate,23,50,29.0,21.0,48,0.5,0.42,2503667,375550,1218785,909332,93000,0,93000,4000,78225,82225,105000,292500,479725,298600,871325,38007,31350
high_cs_rate,24,52,30.16,21.84,50,0.5,0.42,2616488,392473,1273706,950308,96720,0,96720,4000,81354,85354,109200,304200,498754,310544,906018,44290,75640
