scenario,month,births,nvd_cases,cs_cases,enrolments_active,ma_share,cs_rate,total_receipts,noh_fee,medicare_fee,residual,antenatal_midwifery,inhosp_midwifery,midwifery_costs,mo_session_cost,mo_birth_cost,mo_cost,anaes_cost,ob_pool,clinician_costs,board_facility,total_costs,net_cashflow,cumulative_cash
optimistic,1,0,0.0,0.0,0,0.25,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optimistic,2,3,1.8,1.2,3,0.2889,0.4011,130633,19595,63592,47446,5580,0,5580,2000,4553,6553,6017,17267,29837,17542,52959,-5513,-5513
optimistic,3,6,3.71,2.29,6,0.3278,0.3822,262537,39381,127803,95354,11160,0,11160,2000,8826,10826,11467,33967,56259,34336,101755,-6402,-11915
optimistic,4,9,5.73,3.27,8,0.3667,0.3633,395723,59358,192638,143727,16740,0,16740,2000,12818,14818,16350,50100,81268,50382,148390,-4664,-16578
optimistic,5,12,7.87,4.13,11,0.4056,0.3444,540395,81059,263064,196271,22320,0,22320,2000,16530,18530,20667,65667,104863,65680,192863,3408,-13170
optimistic,6,15,10.12,4.88,14,0.4444,0.3256,686466,102970,334172,249324,27900,0,27900,2000,19961,21961,24417,80667,127045,80230,235175,14150,980
optimistic,7,18,12.48,5.52,17,0.4833,0.3067,833946,125092,405965,302889,33480,0,33480,2000,23112,25112,27600,95100,147812,94032,275324,27565,28545
optimistic,8,21,14.96,6.04,20,0.5222,0.2878,982846,147427,478449,356970,39060,0,39060,2000,25982,27982,30217,108967,167166,107086,313312,43658,72203
optimistic,9,24,17.55,6.45,23,0.5611,0.2689,1133175,169976,551630,411569,44640,0,44640,2000,28572,30572,32267,122267,185105,119392,349137,62432,134635
optimistic,10,27,20.25,6.75,25,0.6,0.25,1295392,194309,630597,470486,50220,0,50220,2000,30881,32881,33750,135000,201631,130950,382801,87685,222320
optimistic,11,30,22.5,7.5,28,0.6,0.25,1448663,217299,705209,526154,55800,0,55800,2000,34312,36312,37500,150000,223812,145500,425112,101042,323361
optimistic,12,33,24.75,8.25,31,0.6,0.25,1603395,240509,780533,582353,61380,0,61380,2000,37744,39744,41250,165000,245994,160050,467424,114929,438291
optimistic,13,37,27.75,9.25,34,0.6,0.25,1802000,270300,877214,654486,68820,0,68820,2000,42319,44319,46250,185000,275569,179450,523839,130648,568939
optimistic,14,40,30.0,10.0,37,0.6,0.25,1959894,293984,954076,711833,74400,0,74400,2000,45750,47750,50000,200000,297750,194000,566150,145683,714622
optimistic,15,43,32.25,10.75,40,0.6,0.25,2119282,317892,1031666,769723,79980,0,79980,2000,49181,51181,53750,215000,319931,208550,608461,161262,875884
optimistic,16,46,34.5,11.5,42,0.6,0.25,2280175,342026,1109989,828160,85560,0,85560,4000,52613,56613,57500,230000,344112,223100,652772,175387,1051271
optimistic,17,49,36.75,12.25,45,0.6,0.25,2431777,364766,1183789,883221,91140,0,91140,4000,56044,60044,61250,245000,366294,237650,695084,188138,1239408
optimistic,18,52,39.0,13.0,48,0.6,0.25,2595660,389349,1263567,942744,96720,0,96720,4000,59475,63475,65000,260000,388475,252200,737395,205349,1444757
optimistic,19,55,41.25,13.75,51,0.6,0.25,2761082,414162,1344095,1002825,102300,0,102300,4000,62906,66906,68750,275000,410656,266750,779706,223119,1667876
optimistic,20,58,43.5,14.5,54,0.6,0.25,2928053,439208,1425376,1063469,107880,0,107880,4000,66338,70338,72500,290000,432838,281300,822018,241451,1909327
optimistic,21,61,45.75,15.25,57,0.6,0.25,3096583,464487,1507417,1124679,113460,0,113460,4000,69769,73769,76250,305000,455019,295850,864329,260350,2169678
optimistic,22,64,48.0,16.0,59,0.6,0.25,3255612,488342,1584832,1182438,119040,0,119040,4000,73200,77200,80000,320000,477200,310400,906640,275798,2445476
optimistic,23,67,50.25,16.75,62,0.6,0.25,3427242,514086,1668382,1244774,124620,0,124620,4000,76631,80631,83750,335000,499381,324950,948951,295823,2741299
optimistic,24,70,52.5,17.5,65,0.6,0.25,3600467,540070,1752707,1307689,130200,0,130200,4000,80062,84062,87500,350000,521562,339500,991262,316427,3057726
