scenario,month,births,nvd_cases,cs_cases,enrolments_active,ma_share,cs_rate,total_receipts,noh_fee,medicare_fee,residual,antenatal_midwifery,inhosp_midwifery,midwifery_costs,mo_session_cost,mo_birth_cost,mo_cost,anaes_cost,ob_pool,clinician_costs,board_facility,total_costs,net_cashflow,cumulative_cash
price_stress,1,0,0.0,0.0,0,0.2,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
price_stress,2,2,1.18,0.82,2,0.2273,0.4091,80262,12039,39071,29151,3720,0,3720,2000,3075,5075,4091,11591,20757,11800,36277,-7126,-7126
price_stress,3,5,3.01,1.99,4,0.2545,0.3982,211377,31707,102898,76772,9300,0,9300,2000,7552,9552,9955,28705,48212,29140,86652,-9879,-17005
price_stress,4,7,4.29,2.71,7,0.2818,0.3873,302956,45443,147479,110034,13020,0,13020,2000,10384,12384,13555,39805,65744,40292,119056,-9022,-26027
price_stress,5,9,5.61,3.39,9,0.3091,0.3764,395132,59270,192350,143512,16740,0,16740,2000,13109,15109,16936,50686,82731,51156,150627,-7115,-33142
price_stress,6,11,6.98,4.02,11,0.3364,0.3655,487909,73186,237514,177208,20460,0,20460,2000,15724,17724,20100,61350,99174,61732,181366,-4158,-37300
price_stress,7,14,9.04,4.96,13,0.3636,0.3545,622080,93312,302829,225940,26040,0,26040,2000,19635,21635,24818,77318,123771,77560,227371,-1432,-38732
price_stress,8,16,10.5,5.5,15,0.3909,0.3436,716200,107430,348646,260124,29760,0,29760,2000,22008,24008,27491,87491,138990,87488,256238,3886,-34846
price_stress,9,18,12.01,5.99,17,0.4182,0.3327,821194,123179,399757,298258,33480,0,33480,2000,24273,26273,29945,97445,153664,97128,284272,13986,-20861
price_stress,10,20,13.56,6.44,20,0.4455,0.3218,916569,137485,446186,332898,37200,0,37200,2000,26430,28430,32182,107182,167794,106480,311474,21424,563
price_stress,11,23,15.85,7.15,22,0.4727,0.3109,1064221,159633,518063,386525,42780,0,42780,2000,29774,31774,35755,122005,189533,120796,353109,33416,33980
price_stress,12,25,17.5,7.5,24,0.5,0.3,1160999,174150,565174,421675,46500,0,46500,2000,31688,33688,37500,131250,202438,129500,378438,43237,77217
price_stress,13,27,18.9,8.1,26,0.5,0.3,1268800,190320,617652,460828,50220,0,50220,2000,34222,36222,40500,141750,218472,139860,408552,52276,129493
price_stress,14,29,20.3,8.7,28,0.5,0.3,1356426,203464,660308,492654,53940,0,53940,2000,36758,38758,43500,152250,234508,150220,438668,53986,183479
price_stress,15,32,22.4,9.6,30,0.5,0.3,1507422,226113,733813,547496,59520,0,59520,2000,40560,42560,48000,168000,258560,165760,483840,63656,247135
price_stress,16,34,23.8,10.2,33,0.5,0.3,1606879,241032,782229,583618,63240,0,63240,2000,43095,45095,51000,178500,274595,176120,513955,69663,316798
price_stress,17,36,25.2,10.8,35,0.5,0.3,1706971,256046,830953,619972,66960,0,66960,2000,45630,47630,54000,189000,290630,186480,544070,75902,392700
price_stress,18,38,26.6,11.4,37,0.5,0.3,1807701,271155,879989,656557,70680,0,70680,2000,48165,50165,57000,199500,306665,196840,574185,82372,475072
price_stress,19,41,28.7,12.3,39,0.5,0.3,1951497,292725,949989,708784,76260,0,76260,2000,51967,53967,61500,215250,330718,212380,619358,89426,564498
price_stress,20,43,30.1,12.9,41,0.5,0.3,2064292,309644,1004897,749751,79980,0,79980,4000,54502,58502,64500,225750,348752,222740,651472,98278,662777
price_stress,21,45,31.5,13.5,43,0.5,0.3,2156454,323468,1049762,783224,83700,0,83700,4000,57038,61038,67500,236250,364788,233100,681588,101637,764413
price_stress,22,47,32.9,14.1,46,0.5,0.3,2270619,340593,1105337,824689,87420,0,87420,4000,59572,63572,70500,246750,380822,243460,711702,112986,877400
price_stress,23,50,35.0,15.0,48,0.5,0.3,2417744,362662,1176958,878125,93000,0,93000,4000,63375,67375,75000,262500,404875,259000,756875,121250,998649
price_stress,24,52,36.4,15.6,50,0.5,0.3,2522685,378403,1228043,916239,96720,0,96720,4000,65910,69910,78000,273000,420910,269360,786990,129249,1127899
